0;None;Nessuno
1;Stench;Tanfo
2;Drizzle;Piovischio
3;Speed Boost;Acceleratore
4;Battle Armor;Lottascudo
5;Sturdy;Vigore
6;Damp;Umidità
7;Limber;Scioltezza
8;Sand Veil;Sabbiavelo
9;Static;Statico
10;Volt Absorb;Assorbivolt
11;Water Absorb;Assorbacqua
12;Oblivious;Indifferenza
13;Cloud Nine;Antimeteo
14;Compound Eyes;Insettocchi
15;Insomnia;Insonnia
16;Color Change;Cambiacolore
17;Immunity;Immunità
18;Flash Fire;Fuocardore
19;Shield Dust;Polvoscudo
20;Own Tempo;Mente Locale
21;Suction Cups;Ventose
22;Intimidate;Prepotenza
23;Shadow Tag;Pedinombra
24;Rough Skin;Cartavetro
25;Wonder Guard;Magidifesa
26;Levitate;Levitazione
27;Effect Spore;Spargispora
28;Synchronize;Sincronismo
29;Clear Body;Corpochiaro
30;Natural Cure;Alternacura
31;Lightning Rod;Parafulmine
32;Serene Grace;Leggiadro
33;Swift Swim;Nuotovelox
34;Chlorophyll;Clorofilla
35;Illuminate;Risplendi
36;Trace;Traccia
37;Huge Power;Macroforza
38;Poison Point;Velenopunto
39;Inner Focus;Forza Interiore
40;Magma Armor;Magmascudo
41;Water Veil;Idrovelo
42;Magnet Pull;Magnetismo
43;Soundproof;Antisuono
44;Rain Dish;Copripioggia
45;Sand Stream;Sabbiafiume
46;Pressure;Pressione
47;Thick Fat;Grassospesso
48;Early Bird;Sveglialampo
49;Flame Body;Corpodifuoco
50;Run Away;Fugafacile
51;Keen Eye;Sguardofermo
52;Hyper Cutter;Ipertaglio
53;Pickup;Raccolta
54;Truant;Pigrone
55;Hustle;Tuttafretta
56;Cute Charm;Incantevole
57;Plus;Più
58;Minus;Meno
59;Forecast;Previsioni
60;Sticky Hold;Antifurto
61;Shed Skin;Muta
62;Guts;Dentistretti
63;Marvel Scale;Pelledura
64;Liquid Ooze;Melma
65;Overgrow;Erbaiuto
66;Blaze;Aiutofuoco
67;Torrent;Acquaiuto
68;Swarm;Aiutinsetto
69;Rock Head;Testadura
70;Drought;Siccità
71;Arena Trap;Trappoarena
72;Vital Spirit;Spiritovivo
73;White Smoke;Fumochiaro
74;Pure Power;Forzapura
75;Shell Armor;Guscioscudo
76;Cacophony;Cacofonia
77;Air Lock;Riparo
78;Tangled Feet;Intricopiedi
79;Motor Drive;Elettrorapid
80;Rivalry;Antagonismo
81;Steadfast;Cuordeciso
82;Snow Cloak;Mantelneve
83;Gluttony;Voracità
84;Anger Point;Grancollera
85;Unburden;Agiltecnica
86;Heatproof;Antifuoco
87;Simple;Disinvoltura
88;Dry Skin;Pellearsa
89;Download;Download
90;Iron Fist;Ferropugno
91;Poison Heal;Velencura
92;Adaptability;Adattabilità
93;Skill Link;Abillegame
94;Hydration;Idratazione
95;Solar Power;Solarpotere
96;Quick Feet;Piedisvelti
97;Normalize;Normalità
98;Sniper;Cecchino
99;Magic Guard;Magicscudo
100;No Guard;Nullodifesa
101;Stall;Rallentatore
102;Technician;Tecnico
103;Leaf Guard;Fogliamanto
104;Klutz;Impaccio
105;Mold Breaker;Rompiforma
106;Super Luck;Supersorte
107;Aftermath;Scoppio
108;Anticipation;Presagio
109;Forewarn;Premonizione
110;Unaware;Imprudenza
111;Tinted Lens;Lentifumé
112;Filter;Filtro
113;Slow Start;Lentoinizio
114;Scrappy;Nervisaldi
115;Storm Drain;Acquascolo
116;Ice Body;Corpogelo
117;Solid Rock;Solidroccia
118;Snow Warning;Scendineve
119;Honey Gather;Mielincetta
120;Frisk;Indagine
121;Reckless;Temerarietà
122;Multitype;Multitipo
123;Flower Gift;Regalfiore
124;Bad Dreams;Sogniamari
125;Pickpocket;Arraffalesto
126;Sheer Force;Forzabruta
127;Contrary;Inversione
128;Unnerve;Agitazione
129;Defiant;Agonismo
130;Defeatist;Sconforto
131;Cursed Body;Corpofunesto
132;Healer;Curacuore
133;Friend Guard;Amicoscudo
134;Weak Armor;Sottilguscio
135;Heavy Metal;Metalpesante
136;Light Metal;Metalleggero
137;Multiscale;Multisquame
138;Toxic Boost;Velenimpeto
139;Flare Boost;Bruciaimpeto
140;Harvest;Coglibacche
141;Telepathy;Telepatia
142;Moody;Altalena
143;Overcoat;Copricapo
144;Poison Touch;Velentocco
145;Regenerator;Rigenergia
146;Big Pecks;Pettinfuori
147;Sand Rush;Remasabbia
148;Wonder Skin;Splendicute
149;Analytic;Ponderazione
150;Illusion;Illusione
151;Imposter;Sosia
152;Infiltrator;Intrapasso
153;Mummy;Mummia
154;Moxie;Arroganza
155;Justified;Giustizia
156;Rattled;Paura
157;Magic Bounce;Magispecchio
158;Sap Sipper;Mangiaerba
159;Prankster;Burla
160;Sand Force;Silicoforza
161;Iron Barbs;Spineferrate
162;Zen Mode;Stato Zen
163;Victory Star;Vittorstella
164;Turboblaze;Piroturbina
165;Teravolt;Teravolt
166;Aroma Veil;Aromavelo
167;Flower Veil;Fiorvelo
168;Cheek Pouch;Guancegonfie
169;Protean;Mutatipo
170;Fur Coat;Foltopelo
171;Magician;Prestigiatore
172;Bulletproof;Antiproiettile
173;Competitive;Tenacia
174;Strong Jaw;Ferromascella
175;Refrigerate;Pellegelo
176;Sweet Veil;Dolcevelo
177;Stance Change;Accendilotta
178;Gale Wings;Aliraffica
179;Mega Launcher;Megalancio
180;Grass Pelt;Peloderba
181;Symbiosis;Simbiosi
182;Tough Claws;Unghiedure
183;Pixilate;Pellefolletto
184;Gooey;Viscosità
185;Aerilate;Pellecielo
186;Parental Bond;Amorefiliale
187;Dark Aura;Auratetra
188;Fairy Aura;Aurafolletto
189;Aura Break;Frangiaura
190;Primordial Sea;Mare Primordiale
191;Desolate Land;Terra Estrema
192;Delta Stream;Flusso Delta
193;Stamina;Sopportazione
194;Wimp Out;Fuggifuggi
195;Emergency Exit;Passoindietro
196;Water Compaction;Idrorinforzo
197;Merciless;Spietatezza
198;Shields Down;Scudosoglia
199;Stakeout;Sorveglianza
200;Water Bubble;Bolladacqua
201;Steelworker;Tempracciaio
202;Berserk;Furore
203;Slush Rush;Spalaneve
204;Long Reach;Distacco
205;Liquid Voice;Idrovoce
206;Triage;Primacura
207;Galvanize;Pellelettro
208;Surge Surfer;Codasurf
209;Schooling;Banco
210;Disguise;Fantasmanto
211;Battle Bond;Morfosintonia
212;Power Construct;Sciamefusione
213;Corrosion;Corrosione
214;Comatose;Sonno Assoluto
215;Queenly Majesty;Regalità
216;Innards Out;Espellinterno
217;Dancer;Sincrodanza
218;Battery;Batteria
219;Fluffy;Morbidone
220;Dazzling;Corposgargiante
221;Soul-Heart;Cuoreanima
222;Tangling Hair;Boccolidoro
223;Receiver;Ricezione
224;Power of Alchemy;Forza Chimica
225;Beast Boost;Ultraboost
226;RKS System;Sistema Primevo
227;Electric Surge;Elettrogenesi
228;Psychic Surge;Psicogenesi
229;Misty Surge;Nebbiogenesi
230;Grassy Surge;Erbogenesi
231;Full Metal Body;Metalprotezione
232;Shadow Shield;Spettroguardia
233;Prism Armor;Scudoprisma
234;Neuroforce;Cerebroforza
235;Intrepid Sword;Spada Indomita
236;Dauntless Shield;Scudo Saldo
237;Libero;Libero
238;Ball Fetch;Raccattapalle
239;Cotton Down;Lanugine
240;Propeller Tail;Elicopinna
241;Mirror Armor;Blindospecchio
242;Gulp Missile;Inghiottimissile
243;Stalwart;Volontà di Ferro
244;Steam Engine;Vapormacchina
245;Punk Rock;Punk Rock
246;Sand Spit;Sputasabbia
247;Ice Scales;Geloscaglie
248;Ripen;Maturazione
249;Ice Face;Gelofaccia
250;Power Spot;Fonte Energetica
251;Mimicry;Mimetismo
252;Screen Cleaner;Annullabarriere
253;Steely Spirit;Spiritoferreo
254;Perish Body;Ultimotocco
255;Wandering Spirit;Anima Errante
256;Gorilla Tactics;Vigorilla
257;Neutralizing Gas;Gas Reagente
258;Pastel Veil;Pastelvelo
259;Hunger Switch;Pancialterna
260;Quick Draw;Colpolesto
